nazev	lat	lon	nehod	lehce	tezce	usmrceno
Vraňany - Dolní Beřkovice	50.34257	14.38293	3	2	0	1
Vraňany - Dolní Beřkovice	50.36611	14.41837	4	5	3	0
Dolní Beřkovice - Hněvice	50.42277	14.38636	1	0	0	0
Hněvice - ČEZ-EMĚ (vl. ČEZ)	50.42277	14.38636	1	0	0	0
Oleško	50.47775	14.19417	3	0	0	0
Nové Kopisty	50.49745	14.11938	2	0	0	0
Prosmyky	50.49969	14.10845	1	0	0	0
Lovosice - Prackovice nad Labem	50.52142	14.04519	2	1	0	0
Prackovice nad Labem - Ústí nad Labem jih	50.58375	14.03083	2	0	0	0
U Kotvy	50.62554	14.05419	2	0	0	0
vlečka LUNA	50.63981	14.04573	3	1	0	0
SCVK	50.64270	14.04436	1	0	0	0
modernizace-není konstrukce	50.66902	14.10321	3	0	0	0
Povrly - Děčín hl.n.	50.67498	14.16411	1	0	0	0
k celnímu skladu z ul. Práce	50.76885	14.20022	2	0	0	0
k.u. Podmokly	50.78498	14.20930	3	0	0	0
BETONIKA, RAF Lužec n.Vlt. - Lužec nad Vltavou	50.32626	14.39664	3	1	0	0
BETONIKA, RAF Lužec n.Vlt. - Lužec nad Vltavou	50.32384	14.40034	1	0	0	0
Kladno-Ostrovec - Kladno-Dubí	50.14918	14.09150	1	0	0	0
ul. Kratochvílova	50.15060	14.09204	3	0	1	0
Kladno-Ostrovec - Kladno-Dubí	50.15821	14.10826	3	1	0	0
ul. Na Cikánce	50.16141	14.11475	3	0	0	0
Vrapický, směr Cvrčovice	50.16576	14.15090	1	0	0	0
Otvovice - Kralupy nad Vltavou	50.22506	14.29776	1	0	0	0
na teplické	50.25059	14.35586	4	0	0	0
U cukrovaru	50.25626	14.38062	2	0	0	0
šikmý Netřebský	50.26073	14.42792	1	0	1	0
Chlumínský	50.26773	14.45813	1	0	0	0
na Staré štaci	50.26744	14.49588	1	0	0	0
Blikače	50.40598	14.13391	1	0	0	0
U sila	50.36080	14.23481	1	0	0	0
Vodochody	50.35994	14.26352	1	0	0	0
Meva-Procházka	50.42904	14.28690	3	3	0	0
ul. Švermova	50.42173	14.27040	3	1	0	0
Roudnice nad Labem - Straškov-odbočka	50.36675	14.26537	1	0	0	0
Vodochody	50.36058	14.26304	1	0	0	0
Straškov - Kmetiněves	50.30318	14.16970	1	0	1	1
Kmetiněves - INTERIER Zlonice	50.28285	14.09521	1	0	0	0
INTERIER Zlonice - Zlonice	50.28330	14.08794	1	0	0	0
Březiny	50.76088	14.24502	2	0	0	0
Děčín východ-horní nádraží - Benešov nad Ploučnicí	50.75884	14.25338	1	0	0	0
Markvartice - Česká Kamenice	50.78641	14.34278	3	0	0	0
Markvartice - Česká Kamenice	50.79181	14.38657	2	0	0	0
ul. Českolipská	50.72949	14.31489	2	1	0	0
zast. Starý Šachov	50.72106	14.37621	1	0	0	0
před žst. Horní Police	50.70966	14.39190	3	1	0	0
žst. Horní Police	50.70587	14.40357	3	0	0	0
Horní Police - Stružnice	50.70543	14.41427	1	0	0	0
Hornopočernická	50.12691	14.55748	1	0	0	0
Jilemnická	50.13963	14.55146	2	1	0	0
Semilská	50.14128	14.54685	3	0	0	0
Cukrovarská	50.15098	14.51535	4	0	0	0
do Calofrigu	50.15225	14.51345	1	1	0	0
u Teplárny Třeboradice	50.16912	14.52179	2	0	0	0
Praha-Čakovice - Měšice u Prahy	50.19367	14.51865	4	0	0	0
Praha-Čakovice - Měšice u Prahy	50.19666	14.51519	1	0	0	0
žst. Neratovice - (kralupské zhlaví)	50.26407	14.51020	1	0	0	1
hlavní Neratovický na Mělnické	50.26325	14.51275	5	0	0	0
do Spolany Neratovice	50.26201	14.52392	1	0	0	0
Neratovice - Všetaty	50.26630	14.55433	1	0	0	0
žst. Všetaty-pražsko-turnovská část	50.28370	14.58645	5	0	0	0
Všetaty - Byšice	50.30316	14.59418	1	0	0	0
žst. Byšice	50.30618	14.61154	1	0	0	0
Byšice - Kropáčova Vrutice	50.32379	14.69355	1	0	0	0
žst. Kropáčova Vrutice	50.32222	14.70754	1	0	0	0
Kropáčova Vrutice - Chotětov	50.31994	14.71565	2	0	0	0
Kropáčova Vrutice - Chotětov	50.31447	14.74903	1	0	1	0
Kropáčova Vrutice - Chotětov	50.33028	14.80530	2	0	2	1
žst. Chotětov	50.33746	14.80834	3	0	0	0
Chotětov - Mladá Boleslav hl.n.	50.37653	14.86910	3	1	0	0
žst. Mladá Boleslav hl.n.	50.40709	14.89123	2	0	0	0
U Putny	50.43522	14.89045	1	0	0	0
ulice 5. května	50.47739	14.93486	1	0	0	2
ul.Boleslavská,kdysi R.armády	50.47869	14.93863	2	0	0	0
na býv.st.sil.do MB,ul.5.května	50.49105	14.96288	3	2	0	0
ul.Jiráskova, hl.přejezd v MH	50.51987	14.98160	1	0	0	0
Jiráskova	50.51977	14.98155	1	0	0	0
na býv. st. silnici ve Březině	50.54586	15.03669	1	0	0	0
druhý přejezd před Loukovem	50.55355	15.04923	2	0	0	0
směr firma GIGA, s. r. o.	50.57672	15.07057	4	0	1	0
přejezd v Přepeřích	50.58799	15.11406	2	0	0	0
Čelákovický	50.15331	14.75071	1	0	0	0
Brandýský v centru	50.18296	14.65749	9	0	0	0
Brandýský šikmý u sadu	50.18783	14.64153	3	4	0	0
Čelákovice - Lázně Toušeň	50.16509	14.71541	1	0	0	0
Toušeňský (směr Zápy)	50.17387	14.69766	1	1	0	0
obecní cesta	50.18342	14.66823	1	0	0	0
Jiřický směr Nová Ves	50.22740	14.55262	2	4	0	0
Jiřický směr Čakovičky	50.23306	14.54738	1	0	0	0
Jiřice - Neratovice	50.24149	14.54382	1	0	0	0
U zast. Lobkovice	50.25070	14.53103	1	0	0	0
Jiřice - Neratovice	50.25270	14.52723	1	0	0	0
Jiřice - Neratovice	50.25613	14.52149	2	0	0	1
žst. Čelákovice - (mochovská kol.)	50.15283	14.75083	1	0	0	0
Kovona	50.19681	14.83160	1	0	0	0
Lysá nad Labem - Stará Boleslav	50.19731	14.82723	1	0	0	0
Lysá nad Labem - Stará Boleslav	50.20437	14.76487	1	0	0	1
Lysá nad Labem - Stará Boleslav	50.20598	14.73838	2	2	1	0
Lysá nad Labem - Stará Boleslav	50.20566	14.70717	4	0	0	0
žst. Dřísy	50.24135	14.63691	1	0	0	0
Dřísy - Všetaty	50.25366	14.61439	3	0	0	0
Dřísy - Všetaty	50.26589	14.58815	1	0	0	0
žst. Veleliby	50.21253	15.02462	1	1	0	0
Veleliby - Cachovice	50.23757	14.99377	2	1	0	1
Cachovice - Luštěnice	50.28501	14.94687	1	0	0	0
Cachovice - Luštěnice	50.30933	14.95160	2	0	1	0
žst. Luštěnice	50.32069	14.94488	1	0	0	0
Luštěnice - Dobrovice	50.35305	14.94314	4	0	0	0
Dobrovice - Mladá Boleslav hl.n.	50.36624	14.92326	1	0	0	0
Dobrovice - Mladá Boleslav hl.n.	50.37406	14.91138	2	3	2	1
Dobrovice - Mladá Boleslav hl.n.	50.38330	14.89428	2	3	1	3
Neuberk	50.39889	14.87887	3	1	0	0
Pod strání, do ul.Stříb.kopec	50.78423	15.01811	1	0	0	1
ulice Tolstého	50.78788	14.99190	2	0	0	0
Liberec - Chrastava	50.80055	14.95842	2	1	0	1
Chrastava - Hrádek nad Nisou	50.82542	14.89593	1	0	0	0
Liberecká ulice	50.85368	14.84896	1	0	0	0
Neumannova ulice, z. Stráž n/N	50.78926	15.02661	2	2	1	0
Liberec - Mníšek u Liberce	50.81172	15.04020	2	0	0	0
u hřbitova, ul. Fojtecká	50.82914	15.05899	1	0	0	1
zast. Oldřichov v Hájích	50.85573	15.09189	1	0	0	0
hl. přejezd, Žitavská ul.	50.91969	15.06824	4	1	0	0
u mostu na Poustku	50.95556	15.02817	1	0	0	0
u skály za Minkovicemi	50.95583	15.02783	1	0	0	2
u smeťáku	50.96431	15.02706	2	0	0	0
u Jelínka	50.96681	15.02782	1	1	0	0
u školy, před žst. Višňová	50.96985	15.02861	2	1	0	0
na konci žst. Višňová	50.97641	15.02817	2	2	0	0
ul. Jiráskova	50.92536	15.06928	1	0	0	0
ul. Fr. Palackého	50.92553	15.07087	2	0	0	0
ul. Pod rozhlednou	50.92735	15.07860	1	0	0	0
před z. Krásný Les-bažantnice	50.93087	15.10853	1	0	0	0
Frýdlant v Čechách předměstí - Řasnice	50.93405	15.12536	1	0	0	0
na z. Řasnice zastávka	50.93932	15.16347	2	0	0	0
Nové Město pod Smrkem - HANS WOLF	50.93261	15.21438	2	0	0	0
Lysá nad Labem - Milovice	50.19823	14.85528	1	0	0	0
U Výzkumáku	50.20029	14.85760	2	0	0	0
Všetaty - Mělník	50.29298	14.58363	2	0	0	0
Mikov	50.31893	14.54691	2	0	1	0
Skuhrov	50.34123	14.51186	1	0	0	0
ul.Kokořínská	50.35120	14.49523	2	0	1	0
U stavidla (Jatka)	50.35749	14.48550	3	0	0	0
7 zlodějů	50.36902	14.47267	2	0	0	3
Na ráji	50.37207	14.47023	1	0	0	0
Mlazice	50.37552	14.46756	1	0	0	0
Kamenný šraňk	50.38024	14.46532	3	0	0	1
Vehlovice	50.38738	14.46288	1	1	0	0
u podniku Sport (Stračí)	50.45019	14.39770	1	0	0	0
u žst. Štětí (Radouň)	50.45917	14.39155	7	0	0	0
Hoštka z náměstí (Malešov)	50.49044	14.33578	1	0	0	0
Montažni základna	50.50998	14.27161	2	0	0	0
	50.50969	14.27172	2	0	0	0
ústav Křešice	50.52328	14.23226	3	0	0	0
U zastávky Křešice	50.52627	14.21634	1	0	0	0
U strážního domku	50.52488	14.20457	6	0	0	0
U Čestmíra	50.52740	14.18936	2	0	0	0
Bělina	50.52312	14.09451	1	0	0	0
Rybena	50.52237	14.08776	5	1	0	0
Setuza	50.65567	14.05074	4	2	2	0
fi:Signal - n.p.Obnova	50.65905	14.06537	1	0	0	0
Rafanda - Olšinky	50.65789	14.07827	1	1	0	0
zastávka Valtířov	50.67240	14.12179	1	0	0	0
U stražního domku	50.66445	14.13608	2	0	0	0
u žst. Velké Březno	50.66327	14.14158	1	0	0	0
Zastávka	50.67142	14.16826	1	2	1	0
Obalex	50.74032	14.18827	1	0	0	0
U výboru	50.74349	14.18795	1	0	0	0
Loděnice	50.75461	14.20070	2	0	0	0
zast. Staré Město	50.76666	14.21492	1	0	0	0
Březová ulice	50.76786	14.23087	1	1	0	0
Plavecký bazén	50.36004	14.48124	4	0	0	0
U koupaliště	50.36081	14.47814	2	1	0	0
Bezručova	50.35941	14.47118	1	0	0	0
Slavín	50.34929	14.49873	1	0	0	0
Mělník - Lhotka u Mělníka	50.34629	14.55515	1	0	0	0
Mělník - Lhotka u Mělníka	50.35579	14.57123	3	0	0	0
Mělník - Lhotka u Mělníka	50.38076	14.54199	3	1	0	0
Lhotka u Mělníka - Nebužely	50.38545	14.58762	1	0	0	0
Nebužely - Živonín	50.39293	14.61270	1	1	0	0
Vrátno - Sudoměř u Mladé Boleslavi	50.43869	14.74233	1	0	0	0
Sudoměř u Mladé Boleslavi - Skalsko	50.43353	14.75385	1	0	0	0
Čechova ulice	50.75567	15.05379	4	3	0	0
Doubská ulice	50.74786	15.05459	6	3	0	0
prostřední přejezd v Ústí	50.51526	15.45850	1	0	0	1
prostřední přejezd v Ústí	50.51526	15.45850	1	0	0	1
Stará Paka - Koštálov	50.55375	15.41940	1	0	0	0
za z. Libštát	50.55747	15.41511	3	0	0	0
u st. 2 v žst. Košťálov	50.56985	15.40163	1	0	0	0
u st. 1 žst. Semily, ul. Nádr.	50.60117	15.32479	2	0	0	0
přejezd u sokolovny	50.63768	15.19307	1	0	0	0
zast. Dolánky	50.60385	15.17196	1	1	0	0
u 70-ky, ve Čtveříně	50.59685	15.09929	1	0	0	0
u zastávky Doubí u Turnova	50.60767	15.10161	2	0	0	0
pod Husou	50.61514	15.09992	1	0	0	0
na zast. Rádlo	50.69443	15.10840	3	2	0	2
dol.šimon.př., ul.Minkovická	50.71294	15.05379	2	2	0	0
Puškinova ul., na z. Pilínkov	50.72708	15.03545	2	1	0	0
Pilínkovská ulice	50.72988	15.04063	1	0	0	0
U Kameňáku	50.36793	15.53453	1	0	0	0
V lese	50.38884	15.44801	1	0	0	2
u zast. Vitiněves	50.39911	15.38086	2	0	0	0
Butoves - Jičín	50.42266	15.36329	3	0	0	0
Staré Místo u Jičína - Jičín	50.42266	15.36329	3	0	0	0
V Železnici	50.46362	15.37569	1	0	0	0
v Libuni k nádraží	50.49222	15.30093	1	0	0	0
na z. Libuň zastávka	50.49995	15.30124	1	1	0	0
za z. Semínova Lhota	50.51799	15.28005	2	1	0	0
v Ktové na silnici Tu - Jc	50.52747	15.24235	1	0	0	0
1. přejezd v Borku	50.53601	15.23150	1	1	0	0
2. přejezd v Borku	50.53706	15.22999	1	0	0	0
u benzínové pumpy	50.57276	15.17190	1	0	0	0
na z. Turnov město	50.57972	15.15178	1	0	0	1
ul. Nad Perchtou	50.58479	15.14312	1	0	0	0
před zast. Lítkovice	50.46187	15.05015	1	3	0	0
hl.přejezd Kněžm.,ul.U nádraží	50.47251	15.01812	2	0	0	0
Bakov nad Jizerou - PAPÍRNY Bělá pod Bezdězem	50.49170	14.91407	1	0	0	0
Bakov nad Jizerou - PAPÍRNY Bělá pod Bezdězem	50.49535	14.90731	1	1	1	0
hl. přejezd ve Splavech	50.58684	14.62968	1	0	0	0
Arbesova ulice	50.68902	14.53181	3	1	2	0
před CL střelnice,Českokamenická	50.69153	14.53320	1	1	0	0
za zn. Skalice u České Lípy	50.74225	14.52394	1	0	0	0
za žst. Nový Bor, B. Egermanna	50.76289	14.54973	3	0	0	0
Žižkova ul.	50.76593	14.55247	1	0	0	0
U pily	50.87488	14.50310	1	0	0	0
Dymník	50.94847	14.53424	1	0	2	1
U nádraží	50.95670	14.54490	4	1	0	0
U nádraží	50.95670	14.54490	4	1	0	0
U nádraží	50.95670	14.54490	4	1	0	0
u zast. Ledkov	50.34462	15.23580	1	0	0	0
Dětenice - Dolní Bousov	50.39045	15.10126	1	0	0	0
Richard	50.53852	14.11776	1	0	1	0
Ul. Masarykova	50.54192	14.12510	3	1	0	1
Pod mostkou	50.54047	14.13432	1	0	0	0
za zastávkou Trnovany	50.54407	14.17751	1	1	1	0
hl. přejezd v Trnovanech	50.54418	14.18380	3	1	0	0
před zast. Horní Řepčice	50.55723	14.26492	2	0	0	0
před žst. Liběšice	50.57075	14.27809	1	0	0	0
Zimoř	50.57837	14.30942	1	0	0	0
ul. Konojedská, za žst. Úštěk	50.58989	14.34505	1	0	0	0
před zast. Dubičná	50.61118	14.35698	1	0	1	0
Úštěk - Blíževedly	50.60869	14.37770	8	2	1	0
před zast. Blíževedly	50.61062	14.39553	1	0	0	0
za žst. Zahrádky	50.63765	14.50943	1	0	0	0
"ul. 5. května, (\""kopeček\"")"	50.66895	14.53829	3	0	0	0
zast. Božíkov, ul. U zastávky	50.67833	14.65064	5	0	2	1
za žst. Mimoň, ul. Vrchlického	50.66017	14.71830	2	0	0	0
za zast. Velký Grunov	50.70001	14.72943	1	0	0	0
před žst. Brniště	50.71375	14.73039	1	0	0	0
	50.71376	14.73041	1	0	0	0
ul.Cvikovská,u vj.náv.před Jabl.	50.76616	14.75060	2	1	0	0
na býv.st.silnici Jablonné-Lbc	50.77894	14.78163	2	3	0	0
zač. zn. Zdislava	50.76978	14.87389	1	0	0	0
před žst. Křižany	50.75154	14.91594	3	0	0	0
u Kovošrotu, ul. Švermova	50.76289	15.01702	3	0	0	0
	50.76243	15.02198	3	0	0	0
u Slévárny, ul. Domky	50.76201	15.02093	8	4	1	0
ul. Volgogradská	50.75429	15.02789	1	0	0	0
u Ekoagroproduktu, ul. Potoční	50.64818	14.73210	1	1	0	0
U hřbitova	50.88439	14.52065	1	0	0	0
Rybniště - Dolní Podluží	50.88299	14.55791	1	0	0	0
Rybniště - Dolní Podluží	50.88337	14.57890	1	0	0	0
Rybniště - Dolní Podluží	50.88117	14.61489	1	1	0	0
U jatek	50.89020	14.62154	1	0	0	0
U slévárny	50.90223	14.63045	3	0	0	0
Varnsdorf - Varnsdorf staré nádraží	50.90474	14.61966	2	1	0	0
Varnsdorf - Varnsdorf staré nádraží	50.90509	14.61694	1	0	0	0
U pivovaru	50.91826	14.60442	1	1	0	0
Mikulášovice dolní nádraží - Panský	50.95105	14.42817	1	1	0	0
Rumburk - Šluknov	50.96067	14.53685	2	1	0	0
Rumburk - Šluknov	50.96389	14.53024	2	0	0	0
Valdek	50.98122	14.50662	1	0	1	0
Rumburk - Šluknov	51.00249	14.46646	3	0	1	1
Šluknov - KAMENOLOM	51.00774	14.45326	1	0	0	0
Šluknov - KAMENOLOM	51.00659	14.44870	1	0	0	0
Velký Šenov - Mikulášovice dolní nádraží	50.99431	14.35518	1	0	0	0
Mikulášovice dolní nádraží - Dolní Poustevna	50.99612	14.29932	1	0	0	0
"Zálabí - \""Rozkoš\"""	50.03213	15.21195	2	0	0	0
U Korama	50.04742	15.20614	1	0	0	0
U Zastávky	50.07363	15.20002	1	0	0	1
Osek - na prvním zhlaví	50.09655	15.19479	1	0	0	0
Kánínský	50.12218	15.18774	1	0	1	0
U Sklárny	50.14608	15.12928	4	0	0	0
U Velkoobchodu	50.15420	15.11686	1	0	0	0
Do Depa	50.18831	15.06459	1	0	0	0
Zbožský	50.19091	15.01395	1	0	0	0
Lánský	50.18684	14.95576	1	0	0	0
na zast.Stratov	50.18741	14.90781	3	0	0	0
Kostomlaty nad Labem - Lysá nad Labem	50.18979	14.87834	1	0	0	0
U Výtahu	50.19362	14.85979	1	0	0	0
Šikmý směr Byšičky	50.19057	14.80407	2	0	0	1
Mstětice hlavní, čtyřkolejný	50.13866	14.69602	1	0	0	0
	50.14435	14.68611	1	0	0	0
Mstětice - Praha-Horní Počernice	50.13016	14.66453	3	0	0	0
ulice Bystrá	50.11466	14.60214	3	0	0	0
Hálková ulice	48.85986	16.06182	1	2	0	0
není	48.86054	16.05825	1	1	0	0
není	48.94054	15.87641	1	0	0	0
není	49.01890	15.83181	1	0	0	0
není	49.07090	15.82120	1	0	0	2
není	49.08657	15.85907	2	1	0	0
není	49.09819	15.85685	1	0	0	0
není	49.10684	15.84617	1	2	0	1
není	49.14267	15.83812	2	1	0	1
není	49.16003	15.83319	1	1	0	0
není	49.17545	15.81355	1	0	0	0
není	49.24374	15.76171	1	1	1	0
není	49.24374	15.76171	1	1	1	0
není	49.26578	15.77371	1	0	0	0
není	49.30336	15.75274	1	1	0	0
Střítež	49.45896	15.62597	1	0	0	0
Štoky-Přibyslav	49.54216	15.65409	1	1	0	0
Šlapanov - Havlíčkův Brod	49.57942	15.61103	2	0	0	0
Josefodolský	49.67184	15.41281	2	0	0	0
Josefodolský	49.67184	15.41281	2	0	0	0
Patnáctka	49.67970	15.42095	3	0	0	0
Na Prvním zhlaví	49.75706	15.39974	3	0	0	0
Na Druhém zhlaví	49.76475	15.39701	1	0	0	0
Stupárovický	49.83425	15.46847	1	0	0	0
Horky	49.87258	15.44310	1	0	0	0
U Nemocnice	49.90485	15.40382	2	0	0	0
Chotusická	49.91920	15.38947	1	1	0	0
Kalabousek	49.92905	15.36334	1	0	0	0
Čáslav - Kutná Hora hl.n.	49.94267	15.32895	4	0	0	0
Do Depa	49.95684	15.31469	1	0	0	1
Libenický	49.99744	15.27078	1	0	0	0
Čáslav-místní nádr. - Skovice	49.91361	15.40773	1	0	0	0
Čáslav-místní nádr. - Skovice	49.91711	15.42269	8	0	2	0
Čáslav-místní nádr. - Skovice	49.91713	15.42326	2	1	0	0
Skovice	49.90583	15.45969	1	0	0	0
Skovice	49.90585	15.45969	1	0	0	0
Skovice - Žleby	49.89556	15.47461	1	0	1	1
Ronov nad Doubravou - Třemošnice	49.88318	15.55584	1	0	0	0
Ronov nad Doubravou - Třemošnice	49.87712	15.56277	2	0	0	0
Ronov nad Doubravou - Třemošnice	49.87427	15.56866	2	1	0	1
obecní cesta	49.59536	15.56911	1	1	0	0
obecní cesta	49.58610	15.56460	1	0	0	0
stát.silnice	49.55747	15.53885	1	0	1	0
stát.silnice	49.52580	15.47765	2	1	0	0
stát.silnice	49.52121	15.45728	1	0	0	0
Herálec - Humpolec	49.52411	15.44160	1	0	0	0
polní cesta	49.52777	15.42368	1	0	0	0
silnice na Jihlavu	49.53268	15.36582	1	0	0	0
U Zahrádek	49.53095	15.35480	1	1	0	0
Dobronín - Dobronín zastávka	49.48317	15.64607	1	0	0	0
Dobronín - Dobronín zastávka	49.47892	15.66602	1	0	0	0
v žst.Tetčice	49.17202	16.40942	2	0	0	0
v Rosicích u Brna; ul.Zbýšovská	49.17756	16.38711	1	0	0	1
v Zastávce u Brna	49.18612	16.36165	1	0	0	0
není	49.19071	16.20179	8	0	0	0
není	49.19022	16.16988	1	0	0	0
Boženy Němcové	49.20528	16.15193	1	0	0	0
K Častoticím	49.22171	16.07793	1	0	0	0
není	49.21391	16.02399	1	0	0	1
není	49.21266	15.97036	2	0	0	0
ul. Ruská	49.21147	15.87790	1	0	1	0
Borovina	49.20973	15.85478	1	0	0	0
Krahulov	49.21282	15.81269	2	0	0	0
není	49.04601	15.79361	3	1	0	0
není	49.02118	15.65129	1	0	0	0
není	49.22824	16.05915	1	0	0	0
není	49.23405	16.05334	1	0	1	1
není	49.23937	16.03963	1	1	0	0
není	49.27373	16.00790	1	0	0	0
U zastávky Oslavička	49.31935	15.96660	2	0	0	0
u Sedláka	48.83207	16.37395	1	0	0	0
není	48.92263	16.36312	1	1	0	0
není	48.96373	16.35139	1	0	0	0
Mor.Krumlov ČD	49.04475	16.33932	3	0	0	0
u Obulanových	49.09238	16.44247	1	0	0	0
U Hronových	49.10257	16.44632	1	0	0	0
u žel.zastávky Troubsko	49.16373	16.52608	2	2	0	2
K sadům, ul.Klobásova	49.16204	16.56453	2	0	1	0
Skřípák	49.09812	16.39642	3	1	0	0
u žst.Ivančice	49.09823	16.37392	1	0	0	0
nemá	48.77419	16.38761	1	2	0	0
na zhlaví č.2	50.10603	15.19307	1	1	1	0
u zast. Sány	50.12996	15.24076	1	0	0	0
Badra	50.13497	15.25103	1	0	0	0
Hradčanský	50.14698	15.28402	1	0	0	1
90	50.14939	15.29116	2	0	0	0
Chlumec nad Cidlinou - Nové Město nad Cidlinou	50.16184	15.46121	3	0	0	0
Chlumec n/Cidlinou - Nový Bydžov	50.16184	15.46121	3	0	0	0
	50.16252	15.45770	3	0	0	0
žst. Káranice	50.15453	15.55411	3	0	0	0
	50.15452	15.55411	3	0	0	0
U Ditricha	50.15880	15.63775	3	0	0	0
Dobřenice - Praskačka	50.15984	15.66061	4	0	0	0
Lhota	50.16658	15.69570	1	0	0	0
Vlčkovice	50.17961	15.74898	1	0	0	0
Pouchov	50.22239	15.84180	1	0	0	0
U cikánů	50.20546	15.96902	6	1	0	0
U hradla	50.20273	15.97568	1	0	0	0
U Tanexu	50.19883	15.98521	4	0	0	0
Krňovický	50.19715	15.98937	2	0	0	1
Amerika	50.19041	16.00596	2	0	0	1
0	50.15899	16.06868	2	0	0	0
Měnírna Týniště n. O. - Týniště n/Orlicí	50.15112	16.07875	1	0	0	0
Týniště n/Orlicí - Častolovice	50.15112	16.07875	1	0	0	0
Ke koupališti	50.11884	16.20931	1	0	0	1
Kostelec n/Orlicí - Doudleby n/Orlicí	50.11515	16.22745	1	0	0	0
	50.11526	16.22773	1	0	0	0
žst. Doudleby n/Orlicí	50.10984	16.25567	1	0	0	0
u hradla Doudleby	50.10811	16.26196	2	0	0	0
u dřevařských závodů	50.08014	16.31798	3	0	0	0
u benzinky	50.07273	16.45513	4	1	0	0
	50.07273	16.45513	4	1	0	0
u Hedvy	50.02896	16.51515	2	0	0	0
u Myslivny	50.01326	16.53962	1	1	0	0
u lomu	50.01348	16.57968	1	0	0	0
u betonárky	50.02015	16.58927	1	0	0	0
u autobusového nadrazi	50.02835	16.59685	1	0	0	0
u Mikysku, pod tělocvičnou	50.03259	16.60268	3	0	0	1
Mladkov, zastavka ČD	50.09208	16.62991	1	0	0	0
U hřbitova	50.15467	16.27472	5	4	0	0
U ZNZ	50.15914	16.27277	2	0	0	0
U Bottkových	50.16215	16.27110	1	2	0	0
U školky	50.16447	16.27058	1	0	0	0
u zast. Rychnov	50.16655	16.27095	1	0	0	1
ŠKODA Kvasiny průmyslová zóna	50.20015	16.25620	1	0	0	0
žst. Vamberk	50.11563	16.27964	1	0	0	0
U železáren	50.12108	16.28844	1	0	0	0
	50.12096	16.28848	1	0	0	0
Vamberk - Slatina n/Zdobnicí	50.13689	16.37509	1	1	0	0
U Pitry	50.13957	16.38637	1	0	0	0
Slatina n/Zdobnicí - Rokytnice v Orlických horách	50.16360	16.44396	1	1	0	0
Podlesí - Červený Potok	50.08840	16.84768	2	0	0	0
k.ú.Dolní lipka	50.08990	16.71422	1	0	0	0
u Tesly	50.08524	16.75493	1	1	0	0
u vodárny	50.07393	16.75554	1	0	1	1
v blízkosti dopravny Č.Voda	50.04930	16.74585	1	0	0	0
u firmy ITEMA, s.r.o.	50.02035	16.74816	1	1	0	0
I/11	50.01414	16.74788	1	1	0	0
Štíty	49.97265	16.75261	2	0	0	0
U podjezdu	49.60232	17.27599	3	3	0	0
U vodárny	49.61829	17.27817	1	1	1	1
Trusovice	49.65533	17.28298	1	0	1	1
Lhota	49.71788	17.28803	3	0	0	0
u zastávky	49.77511	17.18794	1	0	0	0
Újezd u Uničova - UNEX Uničov	49.77663	17.16110	1	0	0	0
UNEX Uničov - Uničov	49.77772	17.14177	2	0	0	0
Troubelice - Libina	49.80880	17.07757	2	0	0	0
u kadeřnictví	49.94309	17.03448	1	1	0	0
u Benziny	49.96631	17.00552	2	1	0	0
Nový Malín - Šumperk	49.96423	16.99993	1	2	0	0
ul.Luže	49.96432	16.99992	1	2	0	0
ul.Příčná - u prádelny	49.96364	16.99626	1	0	0	0
ul.Příčná	49.95837	16.99632	1	0	0	0
Lidická	49.96255	16.98730	1	0	0	1
u stanice	49.92408	16.93546	2	1	0	0
Bludov-Chromeč - OP papírna, s.r.o. vlečka Olšany	49.92886	16.92203	3	1	0	0
Bludov-Chromeč - OP papírna, s.r.o. vlečka Olšany	49.94054	16.90300	2	0	0	0
Bludov-Chromeč - OP papírna, s.r.o. vlečka Olšany	49.95218	16.87526	1	0	0	0
Bludov-Chromeč - OP papírna, s.r.o. vlečka Olšany	49.95711	16.87009	1	0	0	0
OP papírna, s.r.o. vl. Olšany - Ruda n/Moravou	49.96830	16.87484	1	0	0	1
Ruda n/Moravou - Bohdíkov	49.99839	16.89484	3	1	0	0
Ruda n/Moravou - Bohdíkov	50.02462	16.89909	1	1	0	0
Hanušovice - Jindřichov na Moravě	50.07748	16.95359	1	0	0	0
Hanušovice - Jindřichov na Moravě	50.08072	16.96553	2	0	0	0
Branná - Ostružná	50.16861	17.02896	1	0	0	0
Petříkov	50.19106	17.05276	1	0	0	0
Ostružná - SLEZSKÝ KÁMEN H.Lipová	50.19465	17.06314	1	0	0	0
Lipová Lázně - Jeseník	50.22877	17.16307	1	0	0	0
žst. Jeseník	50.22659	17.18809	1	0	0	0
Jeseník - ŘETĚZÁRNA Česká Ves	50.23101	17.19946	1	0	0	0
Lipová Lázně jeskyně - Vápenná	50.27229	17.10915	1	0	0	0
Lipová Lázně jeskyně - Vápenná	50.28095	17.09932	1	0	0	0
Vápenná - Žulová	50.29080	17.09958	1	0	0	0
Mikulovice - Zlaté Hory	50.26295	17.35369	1	0	0	0
Luková 2 zast.	50.19018	15.48690	1	1	1	0
U tenisu	50.23790	15.48364	1	0	0	0
U nemocnice	50.24205	15.48454	3	0	0	0
cihelna Flekačka	50.24994	15.48808	1	0	0	0
Nový Bydžov - Skřivany	50.26499	15.49468	1	0	0	0
